"Source:","/home/jseng/ue4/herbie2/herbie2_pcb/herbie2.sch"
"Date:","Mon 14 Dec 2020 07:40:39 AM PST"
"Tool:","Eeschema 5.1.8-db9833491~88~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","MPN","Manufacturer","Status"
"","","R6","330","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R7","R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R8","R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R9","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R10","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R11","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R12","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R13","10","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R14","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R15","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R16","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R17","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R18","1M","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R19","1M","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R20","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R21","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R22","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R23","4.7K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","R24","4.7K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"","","RV1","10K","Device:R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~","","","","","","","","","",""
"","","S0","Servo0","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","S1","Servo1","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","S2","Servo2","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","S3","Servo3","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","S4","Servo4","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","S5","Servo5","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","U1","74HC595","74xx:74HC595","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","",""
"","","U2","74164","74xx_IEEE:74164","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","","","","","","","","","",""
"","","U3","24v13_Pololu","js:24v13_Pololu","js:24v13_Pololu","","","","","","","","","","",""
"","","U4","LS7366R","js:LS7366R","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","","","","","","","","","",""
"","","U5","LS7366R","js:LS7366R","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","","","","","","","","","",""
"","","U6","TCA9534","Interface_Expansion:TCA9534","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tca9534.pdf","","","","","","","","","",""
"","","U7","24v13_Pololu","js:24v13_Pololu","js:24v13_Pololu","","","","","","","","","","",""
"","","U8","D36V50F5_Pololu","js:D36V50F5_Pololu","js:D36V50F5_Pololu","","","","","","","","","","",""
"","","Y1","20MHz","Device:Crystal","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","~","","","","","","","","","",""
"","","Y2","20MHz","Device:Crystal","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","~","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","MPN","Manufacturer","Status"
"1","1","B2","ARDUINO_UNO_R3_SHIELD_ICSP","Sparkfun_boards:ARDUINO_UNO_R3_SHIELD_ICSP","Sparkfun_boards:UNO_R3_SHIELD_ICSP","","","","","","","","XXX-00000","","",""
"2","4","C1, C2, C3, C4","12pF","pspice:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","",""
"3","6","C5, C6, C7, C8, C9, C13",".1uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","",""
"4","1","C10","1uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","",""
"5","2","C11, C12","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","",""
"6","4","D1, D2, D3, D4","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","","","","",""
"7","1","D5","CVFD20065A","Diode:CVFD20065A","Package_TO_SOT_THT:TO-220-2_Vertical","https://www.wolfspeed.com/media/downloads/89/CVFD20065A.pdf","","","","","","","","","",""
"8","2","F1, F2","Fuse","Device:Fuse","Fuse:Fuseholder_Blade_Mini_Keystone_3568","~","","","","","","","","","",""
"9","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO7380","~","","","","","","","","","",""
"10","1","H5","GND_BATT1","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","","","","","",""
"11","1","H6","PWR_BATT1","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","","","","","",""
"12","1","H7","GND_BATT2","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","","","","","",""
"13","1","H8","PWR_BATT2","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","","","","","",""
"14","1","H9","GND_AC_PWR","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","","","","","",""
"15","1","H10","AC_PWR","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","","","","","","",""
"16","3","H11, H12, H13","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","~","","","","","","","","","",""
"17","1","J1","GND","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","","","","","","","","","",""
"18","1","J2","5V","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","","","","","","","","","",""
"19","3","J3, J8, J9","I2C_STANDARDQWIIC","SparkFun-Connectors:I2C_STANDARDQWIIC","Connectors:1X04_1MM_RA","","","","","","","","CONN-13729","","",""
"20","2","J4, J19","Conn_01x01","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","",""
"21","2","J5, J18","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"22","2","J10, J11","CONN_04JST-PTH","SparkFun-Connectors:CONN_04JST-PTH","Connectors:JST-4-PTH","","","","","","","","WIRE-13531","","",""
"23","1","J12","Vin","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","","","","","","","","","",""
"24","1","J15","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"25","1","J16","Conn_02x03_Odd_Even","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","",""
